"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCL3L1",0,3.60674825426289,0.791,0.398,0,"0","CCL3L1"
"CCL3",0,3.43491135634458,0.88,0.468,0,"0","CCL3"
"CCL4",0,3.28258603448085,0.698,0.41,0,"0","CCL4"
"CCL4L2",0,3.11802642009797,0.694,0.398,0,"0","CCL4L2"
"GRASP",0,2.93982060662541,0.818,0.229,0,"0","GRASP"
"CD83",0,2.89908091909837,0.925,0.254,0,"0","CD83"
"SRGN",0,2.82223641516296,0.987,0.461,0,"0","SRGN"
"EGR3",0,2.78682732247676,0.871,0.311,0,"0","EGR3"
"NR4A1",0,2.60102664615913,0.818,0.27,0,"0","NR4A1"
"NR4A2",0,2.57685936416968,0.804,0.314,0,"0","NR4A2"
"CH25H",0,2.54552734344621,0.92,0.409,0,"0","CH25H"
"AC020916.1",0,2.54375169121154,0.813,0.283,0,"0","AC020916.1"
"KDM6B",0,2.51790378244804,0.795,0.232,0,"0","KDM6B"
"IL1B",0,2.51191905011005,0.492,0.115,0,"0","IL1B"
"RGS1",0,2.49486268743423,0.996,0.552,0,"0","RGS1"
"DUSP1",0,2.36967453505516,0.999,0.738,0,"0","DUSP1"
"GPR183",0,2.34217308305714,0.789,0.309,0,"0","GPR183"
"KLF6",0,2.30693093444302,0.992,0.553,0,"0","KLF6"
"EGR2",0,2.28031360200031,0.767,0.346,0,"0","EGR2"
"ID2",0,2.26301886143665,0.879,0.428,0,"0","ID2"
"NLRP3",0,2.16543053847043,0.738,0.247,0,"0","NLRP3"
"KLF2",0,2.1216305147611,0.938,0.413,0,"0","KLF2"
"SAT1",0,2.04924538643786,0.99,0.662,0,"0","SAT1"
"DUSP6",0,2.03706463313997,0.72,0.271,0,"0","DUSP6"
"TRIB1",0,1.95003578930853,0.673,0.219,0,"0","TRIB1"
"OSM",0,1.92352130482109,0.488,0.149,0,"0","OSM"
"MAP3K8",0,1.90309414816205,0.65,0.184,0,"0","MAP3K8"
"NFKBID",0,1.89916192265616,0.612,0.207,0,"0","NFKBID"
"SYAP1",0,1.89241261778662,0.625,0.333,0,"0","SYAP1"
"SPRY1",0,1.87850382536765,0.767,0.334,0,"0","SPRY1"
"OTUD1",0,1.85483325860338,0.726,0.367,0,"0","OTUD1"
"CEBPB",0,1.8141207770356,0.973,0.493,0,"0","CEBPB"
"NR4A3",0,1.80074295176159,0.498,0.187,0,"0","NR4A3"
"KLF4",0,1.80048650817168,0.701,0.308,0,"0","KLF4"
"CDKN1A",0,1.7498964014609,0.613,0.196,0,"0","CDKN1A"
"SLC11A1",0,1.73655673010915,0.873,0.374,0,"0","SLC11A1"
"OLR1",0,1.71647767829555,0.912,0.391,0,"0","OLR1"
"RILPL2",0,1.71085157099752,0.58,0.156,0,"0","RILPL2"
"ZFP36",0,1.68253964584235,0.908,0.56,0,"0","ZFP36"
"PHACTR1",0,1.6238055985284,0.621,0.263,0,"0","PHACTR1"
"CXCR4",0,1.61404249765186,0.478,0.132,0,"0","CXCR4"
"STK17B",0,1.57361553487034,0.578,0.201,0,"0","STK17B"
"NEDD9",0,1.5709601155801,0.509,0.174,0,"0","NEDD9"
"REL",0,1.56491497266757,0.702,0.262,0,"0","REL"
"PPP1R15A",0,1.56145722957563,0.778,0.419,0,"0","PPP1R15A"
"IER3",0,1.54778113760178,0.683,0.26,0,"0","IER3"
"PDK4",0,1.54615660715128,0.896,0.689,0,"0","PDK4"
"PDGFB",0,1.47465122519031,0.611,0.211,0,"0","PDGFB"
"ITGAX",0,1.42253029896228,0.581,0.237,0,"0","ITGAX"
"HMOX1",0,1.41492524283084,0.567,0.152,0,"0","HMOX1"
"FOSB",0,1.35153896089968,0.969,0.648,0,"0","FOSB"
"HAVCR2",0,1.31972276345273,0.647,0.277,0,"0","HAVCR2"
"CLEC7A",0,1.23516049714083,0.67,0.328,0,"0","CLEC7A"
"JUN",0,1.2237861321197,0.957,0.775,0,"0","JUN"
"IER2",0,1.19885175619642,0.942,0.661,0,"0","IER2"
"ZFP36L1",0,1.18100132076591,0.733,0.309,0,"0","ZFP36L1"
"MIS18BP1",0,1.16964841270129,0.713,0.338,0,"0","MIS18BP1"
"HLA-DRA",0,1.10267841860018,0.84,0.359,0,"0","HLA-DRA"
"JUNB",0,1.09880177940305,0.957,0.696,0,"0","JUNB"
"EGR1",0,1.09407342119749,0.972,0.645,0,"0","EGR1"
"NFKBIA",0,0.991495023415422,0.876,0.7,0,"0","NFKBIA"
"CD74",0,0.963935626314431,0.971,0.476,0,"0","CD74"
"BTG2",0,0.919142968342791,0.889,0.589,0,"0","BTG2"
"HLA-DRB1",0,0.785609758092609,0.755,0.347,0,"0","HLA-DRB1"
"HLA-DPA1",0,0.745198674197357,0.729,0.287,0,"0","HLA-DPA1"
"EIF4A3",5.09475591543244e-279,1.82882979547829,0.658,0.398,1.01895118308649e-275,"0","EIF4A3"
"P2RY13",5.11861774184764e-278,0.824643530868359,0.725,0.374,1.02372354836953e-274,"0","P2RY13"
"SAMSN1",2.17122737599222e-273,0.903419676790394,0.661,0.323,4.34245475198445e-270,"0","SAMSN1"
"B3GNT5",9.29140185699647e-269,1.35885933747894,0.505,0.19,1.85828037139929e-265,"0","B3GNT5"
"CSRNP1",4.63234383028343e-265,1.22728290602463,0.592,0.326,9.26468766056686e-262,"0","CSRNP1"
"C5AR1",1.78099163688806e-264,1.40924590474741,0.481,0.181,3.56198327377613e-261,"0","C5AR1"
"EIF4E",1.49796636264936e-263,1.87546984743763,0.616,0.379,2.99593272529872e-260,"0","EIF4E"
"SRSF7",1.04070543146894e-261,1.01656615657659,0.836,0.633,2.08141086293788e-258,"0","SRSF7"
"CACNA1A",3.05491093883149e-253,0.984913770339275,0.637,0.336,6.10982187766298e-250,"0","CACNA1A"
"AKAP13",2.84950704975537e-251,0.895026335173407,0.597,0.267,5.69901409951073e-248,"0","AKAP13"
"FCER1G",6.96924276740458e-247,0.616599963875853,0.621,0.257,1.39384855348092e-243,"0","FCER1G"
"DAB2",1.74282188873482e-231,0.625925487058022,0.655,0.343,3.48564377746965e-228,"0","DAB2"
"VSIG4",8.95075175769111e-227,0.419279022213234,0.708,0.383,1.79015035153822e-223,"0","VSIG4"
"YBX3",1.78435167510562e-226,1.30986420972715,0.485,0.21,3.56870335021124e-223,"0","YBX3"
"PLAUR",2.17374979501288e-226,1.67445498350583,0.46,0.192,4.34749959002575e-223,"0","PLAUR"
"ATP2B1-AS1",6.68692995109526e-221,0.973706858088319,0.504,0.253,1.33738599021905e-217,"0","ATP2B1-AS1"
"PAPOLG",8.75957381987144e-206,1.17300225824547,0.46,0.236,1.75191476397429e-202,"0","PAPOLG"
"CXCL8",8.54980457846281e-205,2.15708598098152,0.424,0.186,1.70996091569256e-201,"0","CXCL8"
"HLA-DQB1",2.43748462157685e-202,0.833919541252742,0.463,0.191,4.87496924315369e-199,"0","HLA-DQB1"
"GLRX",7.97840722825783e-202,0.781302507982326,0.617,0.363,1.59568144565157e-198,"0","GLRX"
"HLA-DRB5",2.47416424100926e-198,0.540997290636448,0.541,0.234,4.94832848201852e-195,"0","HLA-DRB5"
"AC007952.4",9.23866153056708e-198,1.06464516124534,0.485,0.249,1.84773230611342e-194,"0","AC007952.4"
"BCL2A1",1.91930131040155e-193,1.04234901621371,0.323,0.086,3.83860262080309e-190,"0","BCL2A1"
"CTSS",3.37052215745995e-185,0.417332279845055,0.58,0.244,6.7410443149199e-182,"0","CTSS"
"ZNF331",2.38701582593961e-182,1.83728624050505,0.452,0.239,4.77403165187921e-179,"0","ZNF331"
"CITED2",1.41668652895531e-173,1.12163012659799,0.477,0.247,2.83337305791062e-170,"0","CITED2"
"AL136987.1",8.41068745678872e-172,0.766962321692108,0.322,0.108,1.68213749135774e-168,"0","AL136987.1"
"AC245014.3",2.38169285800351e-165,1.16201980854987,0.434,0.212,4.76338571600703e-162,"0","AC245014.3"
"AC022509.4",6.99874475006381e-164,0.45098386137273,0.243,0.058,1.39974895001276e-160,"0","AC022509.4"
"CCR1",8.5458772960712e-159,0.615735858417973,0.313,0.113,1.70917545921424e-155,"0","CCR1"
"ATF3",1.57173893913846e-151,1.18979426998828,0.515,0.332,3.14347787827691e-148,"0","ATF3"
"RGS2",5.22331391738701e-149,1.17072481800082,0.524,0.335,1.0446627834774e-145,"0","RGS2"
"PTGS2",2.72415806935375e-148,1.94724343121616,0.395,0.197,5.44831613870751e-145,"0","PTGS2"
"IRF8",1.18620456210578e-147,0.752457855912176,0.451,0.217,2.37240912421156e-144,"0","IRF8"
"AC103591.3",2.14596241970319e-141,0.888289501823661,0.461,0.263,4.29192483940638e-138,"0","AC103591.3"
"HLA-DPB1",5.67541485886524e-140,0.499838706480554,0.422,0.199,1.13508297177305e-136,"0","HLA-DPB1"
"MIDN",4.8805017924581e-136,0.932933648013612,0.585,0.427,9.76100358491621e-133,"0","MIDN"
"APOC1",9.91893290995285e-132,0.375913492344192,0.408,0.178,1.98378658199057e-128,"0","APOC1"
"IFI30",2.27607092463349e-129,0.735818582366865,0.264,0.077,4.55214184926698e-126,"0","IFI30"
"CD14",8.89341612123029e-129,0.71999633393813,0.35,0.142,1.77868322424606e-125,"0","CD14"
"MIR222HG",1.70190235481031e-128,0.782412652356077,0.349,0.179,3.40380470962062e-125,"0","MIR222HG"
"PTGER4",3.84801094553716e-126,0.936464665319503,0.326,0.116,7.69602189107432e-123,"0","PTGER4"
"BCAS2",1.19380786231227e-125,0.968294843912549,0.465,0.315,2.38761572462454e-122,"0","BCAS2"
"DDIT3",7.02476280087874e-124,0.683083266447073,0.564,0.398,1.40495256017575e-120,"0","DDIT3"
"LCP2",1.4570420764014e-121,0.921363841074235,0.346,0.15,2.91408415280279e-118,"0","LCP2"
"TNFAIP8L3",2.10937060469134e-120,0.891481283519622,0.3,0.135,4.21874120938269e-117,"0","TNFAIP8L3"
"IL1A",2.23785557187637e-120,0.989077971607232,0.232,0.051,4.47571114375275e-117,"0","IL1A"
"LRRFIP1",1.09185288148593e-117,0.63818780130096,0.434,0.248,2.18370576297185e-114,"0","LRRFIP1"
"CKS2",1.15197511843761e-117,1.1248150145487,0.389,0.241,2.30395023687522e-114,"0","CKS2"
"TAGAP",3.41395384969038e-117,0.723149552059453,0.335,0.145,6.82790769938076e-114,"0","TAGAP"
"MYADM",1.80468815942319e-116,0.866770450671813,0.582,0.428,3.60937631884638e-113,"0","MYADM"
"RASGEF1B",3.02462843445777e-116,0.982677334186109,0.371,0.191,6.04925686891555e-113,"0","RASGEF1B"
"KLF10",3.28945486629543e-116,0.902130699254718,0.319,0.13,6.57890973259086e-113,"0","KLF10"
"CAPG",5.24036082550457e-113,0.374740153388205,0.334,0.14,1.04807216510091e-109,"0","CAPG"
"LPL",3.125577044385e-110,0.307291613268578,0.264,0.108,6.25115408877e-107,"0","LPL"
"HSPH1",3.62943671958213e-106,0.836213290061387,0.567,0.415,7.25887343916426e-103,"0","HSPH1"
"ATF7IP2",6.42309263846088e-105,0.84166751283004,0.37,0.188,1.28461852769218e-101,"0","ATF7IP2"
"CCNL1",6.70915476922463e-104,0.512068296752382,0.755,0.61,1.34183095384493e-100,"0","CCNL1"
"MRC1",3.31642187075694e-102,0.496051829387659,0.457,0.254,6.63284374151388e-99,"0","MRC1"
"TMEM107",1.81709303856194e-93,0.774280543778756,0.369,0.237,3.63418607712388e-90,"0","TMEM107"
"NAF1",1.47375389088211e-92,0.768526466676598,0.307,0.161,2.94750778176423e-89,"0","NAF1"
"PLEK",1.25387819155417e-90,0.744691250688328,0.307,0.129,2.50775638310834e-87,"0","PLEK"
"CD69",1.01255468166638e-89,1.21945946599723,0.32,0.152,2.02510936333275e-86,"0","CD69"
"CXorf21",2.62138482469894e-88,0.499371554360266,0.236,0.08,5.24276964939788e-85,"0","CXorf21"
"ODC1",1.57589287508033e-87,0.93300343678305,0.414,0.271,3.15178575016066e-84,"0","ODC1"
"ANKRD37",7.79818754009604e-87,0.538740131587696,0.268,0.144,1.55963750801921e-83,"0","ANKRD37"
"PNP",1.25917370594931e-83,0.870737030158171,0.316,0.174,2.51834741189863e-80,"0","PNP"
"MMP19",9.08918826439626e-83,0.262485872687445,0.192,0.055,1.81783765287925e-79,"0","MMP19"
"RAB20",5.90717365952932e-81,0.739725408606026,0.269,0.118,1.18143473190586e-77,"0","RAB20"
"BASP1",6.77893484161064e-79,0.718901243137872,0.332,0.168,1.35578696832213e-75,"0","BASP1"
"CYB5D1",9.16795717464572e-79,0.812674169294164,0.296,0.183,1.83359143492914e-75,"0","CYB5D1"
"SPP1",5.63208168130519e-78,0.642293154331324,0.955,0.879,1.12641633626104e-74,"0","SPP1"
"CYCS",1.84553900045373e-73,0.504416047418086,0.605,0.516,3.69107800090746e-70,"0","CYCS"
"AC098818.2",5.8576041683102e-72,0.501127907732747,0.251,0.127,1.17152083366204e-68,"0","AC098818.2"
"SLC3A2",7.70683206781848e-72,0.499169139824988,0.477,0.36,1.5413664135637e-68,"0","SLC3A2"
"HLX",6.80684499886006e-71,0.432581647406486,0.23,0.086,1.36136899977201e-67,"0","HLX"
"SCIN",8.89495853735375e-70,0.51147591225911,0.354,0.182,1.77899170747075e-66,"0","SCIN"
"ADM",3.26432673205989e-69,0.558150604764842,0.224,0.087,6.52865346411978e-66,"0","ADM"
"IER5",1.53106903965098e-68,0.715660392997041,0.444,0.328,3.06213807930196e-65,"0","IER5"
"CASS4",7.49375055387477e-67,0.541905892253239,0.266,0.127,1.49875011077495e-63,"0","CASS4"
"LINC01970",6.17881497658252e-65,0.450180132322714,0.237,0.126,1.2357629953165e-61,"0","LINC01970"
"C5AR2",3.06625525906253e-62,1.07168825919398,0.279,0.139,6.13251051812505e-59,"0","C5AR2"
"CCL2",4.15585123274698e-61,1.60934035114835,0.309,0.206,8.31170246549396e-58,"0","CCL2"
"LUCAT1",1.1532175439478e-59,0.366179916290417,0.206,0.087,2.30643508789561e-56,"0","LUCAT1"
"HSPA6",8.84268495589601e-59,0.751520033185987,0.166,0.096,1.7685369911792e-55,"0","HSPA6"
"CREM",1.42040173104198e-58,0.75385385147169,0.355,0.24,2.84080346208395e-55,"0","CREM"
"DNAJA4",1.855432539867e-56,0.544046716045376,0.312,0.22,3.71086507973399e-53,"0","DNAJA4"
"NRIP3",5.24417593577098e-56,0.302185391661854,0.198,0.085,1.0488351871542e-52,"0","NRIP3"
"MLF1",2.0305601121603e-55,0.599186084686726,0.389,0.305,4.0611202243206e-52,"0","MLF1"
"ARL5B",2.73178287463234e-55,0.513058860179851,0.3,0.211,5.46356574926467e-52,"0","ARL5B"
"TYMP",1.47957107744636e-53,0.351663493193192,0.28,0.151,2.95914215489273e-50,"0","TYMP"
"MAFB",9.03421985075147e-53,1.05065195779879,0.398,0.304,1.80684397015029e-49,"0","MAFB"
"MT2A",2.21423151003708e-52,0.638361736042719,0.384,0.618,4.42846302007416e-49,"0","MT2A"
"ABL2",5.20890901180586e-50,0.833173671995862,0.348,0.263,1.04178180236117e-46,"0","ABL2"
"AC084871.2",1.52252096138822e-49,0.402014329804998,0.19,0.062,3.04504192277643e-46,"0","AC084871.2"
"HSPA5",5.97159271242417e-48,0.397813871458759,0.573,0.489,1.19431854248483e-44,"0","HSPA5"
"HSPA8",1.67554085857056e-47,0.394718150142726,0.769,0.668,3.35108171714111e-44,"0","HSPA8"
"XIRP1",9.9394302663262e-47,0.509751525127967,0.212,0.115,1.98788605326524e-43,"0","XIRP1"
"AL118516.1",2.08166641098137e-46,0.488298249525411,0.266,0.185,4.16333282196273e-43,"0","AL118516.1"
"HSPA1B",1.55345541797192e-43,0.44708947934669,0.667,0.559,3.10691083594383e-40,"0","HSPA1B"
"LINC01480",1.6417548038835e-43,0.483769257224886,0.387,0.285,3.283509607767e-40,"0","LINC01480"
"CEBPA",2.73768080511492e-43,0.562245742871809,0.315,0.18,5.47536161022985e-40,"0","CEBPA"
"GADD45B",6.32891131028669e-43,0.699649202365189,0.486,0.407,1.26578226205734e-39,"0","GADD45B"
"TNFAIP3",1.23138388912749e-42,0.856009124527662,0.227,0.151,2.46276777825498e-39,"0","TNFAIP3"
"MPRIP-AS1",6.33410049623955e-42,0.728231902546495,0.311,0.217,1.26682009924791e-38,"0","MPRIP-AS1"
"H1F0",1.81140792724426e-39,0.519419354680709,0.348,0.267,3.62281585448852e-36,"0","H1F0"
"ANKRD22",2.17671090906373e-38,0.283082006982655,0.239,0.142,4.35342181812746e-35,"0","ANKRD22"
"TNF",2.98855130228619e-37,0.626791697878222,0.238,0.137,5.97710260457238e-34,"0","TNF"
"STX4",3.23807057711641e-37,0.613985891716115,0.414,0.364,6.47614115423283e-34,"0","STX4"
"ALPK3",5.12187864660582e-35,0.497764665966608,0.187,0.057,1.02437572932116e-31,"0","ALPK3"
"PLEKHG2",8.19342210221328e-33,0.555704333642445,0.22,0.11,1.63868442044266e-29,"0","PLEKHG2"
"MYC",5.53448187065533e-32,0.436043589279293,0.233,0.122,1.10689637413107e-28,"0","MYC"
"NRP2",9.74647546012318e-32,0.445962270288218,0.197,0.128,1.94929509202464e-28,"0","NRP2"
"TREM1",2.12777239291243e-31,0.415314875555654,0.189,0.058,4.25554478582486e-28,"0","TREM1"
"TIPARP",1.95741768022468e-29,0.640962645620149,0.436,0.399,3.91483536044936e-26,"0","TIPARP"
"LYVE1",2.542965218747e-28,0.520530470336072,0.319,0.214,5.085930437494e-25,"0","LYVE1"
"DUSP2",4.88850574982155e-28,0.736304963675812,0.221,0.134,9.77701149964311e-25,"0","DUSP2"
"ITGA5",1.33008718586662e-26,0.287968906011638,0.198,0.093,2.66017437173324e-23,"0","ITGA5"
"DUSP5",2.20748558036116e-26,0.934315371914924,0.268,0.194,4.41497116072232e-23,"0","DUSP5"
"BAG3",6.59254753968908e-26,0.612967853109224,0.231,0.18,1.31850950793782e-22,"0","BAG3"
"DDIT4",1.52675966778764e-24,0.524334289209281,0.476,0.44,3.05351933557528e-21,"0","DDIT4"
"METRNL",5.1408820332209e-24,0.394008777956733,0.201,0.133,1.02817640664418e-20,"0","METRNL"
"AC058791.1",1.34617741607541e-23,0.719620922603071,0.377,0.329,2.69235483215083e-20,"0","AC058791.1"
"SLC2A3",1.55345223143929e-23,0.590699769706174,0.211,0.14,3.10690446287857e-20,"0","SLC2A3"
"ZFAND2A",3.6319496414342e-23,0.404579488380366,0.291,0.245,7.2638992828684e-20,"0","ZFAND2A"
"HSP90AA1",7.21461895269342e-22,0.381219917574534,0.949,0.872,1.44292379053868e-18,"0","HSP90AA1"
"PMAIP1",1.06863312952366e-20,0.607048375250433,0.186,0.078,2.13726625904732e-17,"0","PMAIP1"
"CCL20",4.304418028717e-20,0.265490808640046,0.17,0.071,8.608836057434e-17,"0","CCL20"
"HSPD1",8.00969453324072e-20,0.564960261028204,0.5,0.489,1.60193890664814e-16,"0","HSPD1"
"RGS16",4.15763141057281e-19,0.738150182714107,0.19,0.101,8.31526282114561e-16,"0","RGS16"
"PRDM1",1.2089057285966e-18,0.39338262141388,0.235,0.14,2.41781145719321e-15,"0","PRDM1"
"HIST1H1C",1.98766841484202e-18,0.436548052841938,0.3,0.262,3.97533682968404e-15,"0","HIST1H1C"
"NKX3-1",3.47827897525519e-17,0.303189549881391,0.17,0.087,6.95655795051037e-14,"0","NKX3-1"
"ICAM1",8.32373897376604e-17,0.38401482581137,0.146,0.072,1.66474779475321e-13,"0","ICAM1"
"HHEX",5.10601379015435e-15,0.311115268900975,0.292,0.233,1.02120275803087e-11,"0","HHEX"
"STX11",9.03940886591936e-14,0.523913241806952,0.185,0.087,1.80788177318387e-10,"0","STX11"
"ATP1B3",1.45503640076752e-13,0.379824878015844,0.353,0.339,2.91007280153504e-10,"0","ATP1B3"
"SOX4",1.32521111080164e-12,0.262440065090907,0.242,0.205,2.65042222160328e-09,"0","SOX4"
"MSR1",7.79024934398719e-11,0.402113299694324,0.204,0.13,1.55804986879744e-07,"0","MSR1"
"IER5L",4.5728547614433e-10,0.486612720259551,0.224,0.184,9.14570952288659e-07,"0","IER5L"
"C12orf57",1.56611796310614e-09,0.310924731653246,0.373,0.38,3.13223592621229e-06,"0","C12orf57"
"TFRC",1.92918769428893e-09,0.809667778939734,0.274,0.242,3.85837538857786e-06,"0","TFRC"
"FDX1",1.9953089845011e-09,0.370050418271408,0.279,0.257,3.99061796900219e-06,"0","FDX1"
"NRARP",1.14392787747911e-08,0.264106639000139,0.115,0.108,2.28785575495822e-05,"0","NRARP"
"AL627171.1",2.66302622613928e-08,0.477187341988992,0.21,0.179,5.32605245227856e-05,"0","AL627171.1"
"INHBA",3.07362174639912e-08,0.635924525611783,0.186,0.11,6.14724349279824e-05,"0","INHBA"
"TAF9",4.78769398479418e-08,0.389123604537571,0.24,0.242,9.57538796958837e-05,"0","TAF9"
"VEGFA",4.6919633457901e-07,0.520708347117728,0.164,0.118,0.00093839266915802,"0","VEGFA"
"NFATC1",6.82434797218762e-07,0.445190464387095,0.204,0.175,0.00136486959443752,"0","NFATC1"
"SLC7A5",5.10386623974018e-06,0.250949622293788,0.137,0.1,0.0102077324794804,"0","SLC7A5"
"EDN1",6.25575869633367e-06,0.284468615078187,0.142,0.083,0.0125115173926673,"0","EDN1"
"TNFRSF12A",1.06790449974454e-05,0.511249838917323,0.205,0.168,0.0213580899948908,"0","TNFRSF12A"
"SIDT1",1.2175099598561e-05,0.372759149561868,0.177,0.113,0.024350199197122,"0","SIDT1"
"BHLHE40",0.000156719168035559,0.253636082468291,0.127,0.058,0.313438336071117,"0","BHLHE40"
"ERO1B",0.000448991523314218,0.26333921207151,0.226,0.243,0.897983046628436,"0","ERO1B"
"GADD45G",0.00632858905136503,0.322414352196692,0.226,0.268,1,"0","GADD45G"
"PLP1",0,2.76222251081886,1,0.633,0,"1","PLP1"
